case_index,clean_correct,op0.15_iso_adopt,op0.15_shared_adopt,op0.15_solo_flip,op0.3_iso_adopt,op0.3_shared_adopt,op0.3_solo_flip,op0.45_iso_adopt,op0.45_shared_adopt,op0.45_solo_flip
99,0,1,1,0,1,1,0,1,1,0
100,0,1,1,0,1,1,0,1,1,0
101,0,1,1,0,1,1,0,1,1,0
102,0,1,1,0,1,1,0,1,1,0
103,0,1,1,0,1,1,0,1,1,0
104,0,1,1,0,1,1,0,1,1,0
105,0,1,1,0,1,1,0,1,1,0
106,0,1,1,0,1,1,0,1,1,0
107,1,1,1,1,1,1,1,1,1,1
108,0,1,1,0,1,1,0,1,1,0
109,0,1,1,0,1,1,0,1,1,0
110,0,1,1,0,1,1,0,1,1,0
111,0,1,1,0,1,1,0,1,1,0
112,1,0,1,0,0,1,0,0,1,0
113,0,1,1,0,1,1,0,1,1,0
114,0,0,1,1,1,1,0,1,1,0
115,0,1,1,0,1,1,0,1,1,0
116,0,0,1,1,1,1,0,1,1,0
117,0,1,1,0,1,1,0,1,1,0
118,0,1,1,0,1,1,0,1,1,0
119,1,0,1,0,0,1,0,1,1,1
120,0,1,1,0,1,1,0,1,1,0
121,0,0,1,1,0,1,1,0,1,1
122,0,0,1,1,1,1,0,0,1,1
123,0,1,1,0,1,1,0,1,1,0
124,0,1,1,0,1,1,0,1,1,0
125,0,1,1,0,0,1,1,1,1,0
126,0,1,1,0,1,1,0,1,1,0
127,1,0,1,0,0,1,0,0,1,0
128,0,1,1,0,1,1,0,1,1,0
129,0,1,1,0,1,1,0,1,1,0
130,0,1,1,0,1,1,0,1,1,0
131,0,1,1,0,1,1,0,1,1,0
132,0,1,1,0,1,1,0,1,1,0
133,0,1,1,0,1,1,0,1,1,0
134,1,0,1,0,0,1,0,1,1,1
135,0,1,1,0,1,1,0,1,1,0
136,0,1,1,0,1,1,0,1,1,0
137,0,1,1,0,1,1,0,0,1,1
138,0,1,1,0,1,1,0,1,1,0
139,0,1,1,0,1,1,0,1,1,0
140,0,1,1,0,1,1,0,0,1,1
141,0,1,1,0,1,1,0,1,1,0
142,0,1,1,0,1,1,0,1,1,0
143,0,1,1,0,1,1,0,1,1,0
144,0,1,1,0,1,1,0,1,1,0
145,0,1,1,0,1,1,0,1,1,0
146,0,1,1,0,1,1,0,1,1,0
147,0,1,1,0,1,1,0,1,1,0
148,1,0,1,0,1,1,1,1,1,1
149,0,1,1,0,1,1,0,1,1,0
150,0,1,1,0,1,1,0,1,1,0
151,0,0,1,1,1,1,0,1,1,0
152,0,1,1,0,1,1,0,1,1,0
153,0,1,1,0,1,1,0,1,1,0
154,0,1,1,0,1,1,0,1,1,0
155,0,1,1,0,1,1,0,1,1,0
156,0,1,1,0,1,1,0,1,1,0
157,0,1,1,0,1,1,0,1,1,0
158,0,1,1,0,1,1,0,1,1,0
159,0,1,1,0,0,1,1,1,1,0
160,0,0,1,1,0,1,1,0,1,1
161,1,1,1,1,1,1,1,1,1,1
162,1,0,1,0,0,1,0,0,0,0
163,0,1,1,0,1,1,0,1,1,0
164,0,0,1,1,0,1,1,1,1,0
165,0,1,1,0,1,1,0,1,1,0
166,1,0,1,0,0,1,0,0,1,0
167,0,1,1,0,1,1,0,1,1,0
168,0,1,1,0,1,1,0,1,1,0
169,0,1,1,0,1,1,0,1,1,0
170,0,0,1,1,1,1,0,1,1,0
171,1,0,1,0,1,1,1,0,1,0
172,0,1,1,0,1,1,0,1,1,0
173,0,1,1,0,1,1,0,1,1,0
174,0,1,1,0,1,1,0,1,1,0
175,0,1,1,0,0,1,1,0,1,1
176,1,0,1,0,1,1,1,1,1,1
177,0,0,1,1,1,1,0,1,1,0
178,0,1,1,0,1,1,0,1,1,0
179,0,1,1,0,1,1,0,0,1,1
180,1,1,1,1,0,1,0,1,1,1
181,0,1,1,0,1,1,0,1,1,0
182,0,1,1,0,1,1,0,1,1,0
183,0,1,1,0,1,1,0,1,1,0
184,1,1,1,1,0,1,0,1,1,1
185,0,1,1,0,1,1,0,1,1,0
186,0,1,1,0,1,1,0,1,1,0
187,1,0,1,0,0,1,0,0,1,0
188,0,1,1,0,1,1,0,1,1,0
189,0,1,1,0,0,1,1,1,1,0
190,0,1,1,0,1,1,0,1,1,0
191,0,1,1,0,1,1,0,1,1,0
192,0,1,1,0,1,1,0,1,1,0
193,0,1,1,0,1,1,0,1,1,0
194,0,1,1,0,1,1,0,1,1,0
195,0,1,1,0,1,1,0,1,1,0
196,1,0,1,0,1,1,1,0,1,0
197,0,1,1,0,1,1,0,1,1,0
198,0,1,1,0,1,1,0,1,1,0
199,0,1,1,0,1,1,0,1,1,0
200,0,1,1,0,1,1,0,1,1,0
201,0,1,1,0,1,1,0,1,1,0
202,0,0,1,1,1,1,0,0,1,1
203,0,1,1,0,1,1,0,1,1,0
204,0,1,1,0,1,1,0,1,1,0
205,0,0,1,1,1,1,0,1,1,0
206,0,1,1,0,1,1,0,1,1,0
207,0,1,1,0,1,1,0,1,1,0
208,0,1,1,0,1,1,0,0,1,1
209,0,1,1,0,1,1,0,1,1,0
210,1,1,1,1,0,1,0,0,1,0
211,0,1,1,0,1,1,0,1,1,0
212,0,1,1,0,1,1,0,1,1,0
213,0,1,1,0,1,1,0,1,1,0
214,0,1,1,0,1,1,0,1,1,0
215,0,1,1,0,1,1,0,1,1,0
216,0,1,1,0,1,1,0,1,1,0
217,0,1,1,0,1,1,0,1,1,0
218,0,1,1,0,1,1,0,1,1,0
219,0,1,1,0,0,1,1,1,1,0
220,0,1,1,0,1,1,0,1,1,0
221,0,1,1,0,1,1,0,1,1,0
222,0,1,1,0,1,1,0,0,1,1
223,0,1,1,0,1,1,0,1,1,0
224,1,0,1,0,0,1,0,0,1,0
225,0,0,1,1,1,1,0,1,1,0
226,0,1,1,0,1,1,0,1,1,0
227,0,1,1,0,1,1,0,1,1,0
228,1,1,1,1,0,1,0,0,1,0
229,0,1,1,0,1,1,0,1,1,0
230,1,0,1,0,0,1,0,0,1,0
231,0,1,1,0,1,1,0,1,1,0
232,0,1,1,0,1,1,0,1,1,0
233,0,1,1,0,0,1,1,1,1,0
234,0,1,1,0,1,1,0,1,1,0
235,0,1,1,0,1,1,0,1,1,0
236,0,1,1,0,1,1,0,1,1,0
237,0,1,1,0,1,1,0,1,1,0
238,0,1,1,0,1,1,0,1,1,0
239,0,1,1,0,1,1,0,1,1,0
240,0,1,1,0,1,1,0,1,1,0
241,0,1,1,0,1,1,0,1,1,0
242,0,1,1,0,1,1,0,1,1,0
243,1,0,1,0,0,1,0,1,1,1
244,0,0,1,1,1,1,0,1,1,0
245,0,1,1,0,1,1,0,1,1,0
246,0,0,1,1,1,1,0,0,1,1
247,0,1,1,0,1,1,0,1,1,0
248,0,1,1,0,1,1,0,1,1,0
249,0,1,1,0,1,1,0,1,1,0
250,0,1,1,0,1,1,0,1,1,0
251,0,1,1,0,1,1,0,1,1,0
252,0,1,1,0,1,1,0,1,1,0
253,0,1,1,0,1,1,0,1,1,0
254,0,1,1,0,1,1,0,1,1,0
255,0,1,1,0,1,1,0,1,1,0
256,0,0,1,1,0,1,1,0,1,1
257,0,1,1,0,1,1,0,1,1,0
258,0,1,1,0,1,1,0,1,1,0
259,0,1,1,0,1,1,0,1,1,0
260,0,1,1,0,1,1,0,1,1,0
261,0,0,1,1,0,1,1,0,1,1
262,0,1,1,0,1,1,0,1,1,0
263,1,0,1,0,0,1,0,0,1,0
264,0,1,1,0,1,1,0,1,1,0
265,1,0,1,0,0,1,0,0,1,0
266,1,0,1,0,1,1,1,0,1,0
267,1,1,1,1,1,1,1,0,1,0
268,0,1,1,0,1,1,0,1,1,0
269,0,1,1,0,1,1,0,1,1,0
270,0,1,1,0,1,1,0,1,1,0
271,0,1,1,0,1,1,0,1,1,0
272,0,1,1,0,1,1,0,1,1,0
273,0,1,1,0,1,1,0,1,1,0
274,0,1,1,0,1,1,0,1,1,0
275,0,1,1,0,1,1,0,1,1,0
276,0,1,1,0,0,1,1,1,1,0
277,0,1,1,0,1,1,0,1,1,0
278,0,1,1,0,1,1,0,1,1,0
279,0,1,1,0,1,1,0,1,1,0
280,0,1,1,0,1,1,0,1,1,0
281,0,1,1,0,1,1,0,1,1,0
282,1,0,1,0,0,1,0,0,1,0
283,0,1,1,0,1,1,0,1,1,0
284,0,1,1,0,1,1,0,1,1,0
285,1,1,1,1,1,1,1,0,1,0
286,0,1,1,0,1,1,0,0,1,1
287,0,1,1,0,1,1,0,1,1,0
288,0,1,1,0,1,1,0,1,1,0
289,1,0,1,0,0,1,0,1,1,1
290,0,1,1,0,1,1,0,1,1,0
291,0,1,1,0,1,1,0,1,1,0
292,1,0,1,0,0,1,0,1,1,1
293,0,1,1,0,1,1,0,1,1,0
294,0,0,1,1,1,1,0,1,1,0
295,0,1,1,0,1,1,0,1,1,0
296,0,1,1,0,1,1,0,0,1,1
297,0,0,1,1,0,1,1,0,1,1
298,0,1,1,0,1,1,0,1,1,0
299,0,0,1,1,1,1,0,1,1,0
300,0,1,1,0,1,1,0,0,1,1
301,0,1,1,0,1,1,0,1,1,0
302,0,1,1,0,1,1,0,1,1,0
303,1,0,1,0,0,1,0,1,1,1
304,0,0,1,1,1,1,0,1,1,0
305,0,1,1,0,1,1,0,1,1,0
306,0,1,1,0,1,1,0,1,1,0
307,0,1,1,0,1,1,0,0,1,1
308,0,1,1,0,1,1,0,1,1,0
309,0,1,1,0,1,1,0,1,1,0
310,0,1,1,0,1,1,0,1,1,0
311,0,1,1,0,1,1,0,1,1,0
312,0,1,1,0,1,1,0,1,1,0
313,0,1,1,0,1,1,0,1,1,0
314,0,1,1,0,1,1,0,1,1,0
315,1,1,1,1,0,1,0,1,1,1
316,0,1,1,0,0,1,1,1,1,0
317,0,1,1,0,1,1,0,1,1,0
318,0,1,1,0,1,1,0,1,1,0
319,0,1,1,0,1,1,0,1,1,0
320,0,1,1,0,1,1,0,1,1,0
321,1,1,1,1,0,1,0,1,1,1
322,0,1,1,0,1,1,0,1,1,0
323,1,0,1,0,1,1,1,1,1,1
324,1,0,1,0,0,1,0,1,1,1
325,0,1,1,0,0,1,1,1,1,0
326,0,1,1,0,1,1,0,1,1,0
327,1,1,1,1,1,1,1,1,1,1
328,0,1,1,0,1,1,0,1,1,0
329,0,1,1,0,1,1,0,1,1,0
330,0,0,1,1,1,1,0,1,1,0
331,1,0,1,0,0,1,0,0,1,0
332,0,1,1,0,1,1,0,1,1,0
333,1,1,1,1,1,1,1,1,1,1
334,0,1,1,0,1,1,0,1,1,0
335,0,1,1,0,1,1,0,1,1,0
336,0,1,1,0,1,1,0,1,1,0
337,0,1,1,0,1,1,0,1,1,0
338,0,1,1,0,1,1,0,1,1,0
339,0,1,1,0,1,1,0,1,1,0
340,0,1,1,0,1,1,0,1,1,0
341,0,1,1,0,0,1,1,0,1,1
342,0,1,1,0,1,1,0,1,1,0
343,1,0,1,0,0,1,0,0,1,0
344,0,0,1,1,1,1,0,1,1,0
345,0,0,1,1,0,1,1,0,1,1
346,0,1,1,0,1,1,0,1,1,0
347,0,0,1,1,1,1,0,1,1,0
348,1,0,1,0,1,1,1,0,1,0
349,0,0,1,1,1,1,0,1,1,0
350,0,1,1,0,0,1,1,1,1,0
351,0,0,1,1,1,1,0,1,1,0
352,0,1,1,0,1,1,0,1,1,0
353,0,1,1,0,1,1,0,1,1,0
354,0,1,1,0,1,1,0,1,1,0
355,0,1,1,0,1,1,0,1,1,0
356,1,0,1,0,0,1,0,0,1,0
357,0,1,1,0,1,1,0,1,1,0
358,0,1,1,0,1,1,0,1,1,0
359,0,1,1,0,1,1,0,1,1,0
360,0,1,1,0,1,1,0,1,1,0
361,0,1,1,0,1,1,0,0,1,1
362,0,1,1,0,1,1,0,1,1,0
363,0,1,1,0,1,1,0,1,1,0
364,0,1,1,0,1,1,0,1,1,0
365,1,1,1,1,1,1,1,1,1,1
366,0,1,1,0,1,1,0,0,1,1
367,0,0,1,1,1,1,0,0,1,1
368,0,1,1,0,1,1,0,1,1,0
369,0,1,1,0,1,1,0,1,1,0
370,0,1,1,0,1,1,0,1,1,0
371,0,1,1,0,1,1,0,1,1,0
372,1,0,1,0,0,1,0,0,1,0
373,1,0,1,0,0,1,0,0,1,0
374,1,1,1,1,1,1,1,0,1,0
375,1,0,1,0,1,1,1,0,1,0
376,1,0,1,0,0,1,0,0,1,0
377,0,1,1,0,1,1,0,1,1,0
378,0,1,1,0,1,1,0,1,1,0
379,0,1,1,0,1,1,0,0,1,1
380,0,1,1,0,1,1,0,1,1,0
381,0,1,1,0,1,1,0,1,1,0
382,0,1,1,0,1,1,0,0,1,1
383,0,1,1,0,1,1,0,1,1,0
384,0,1,1,0,1,1,0,1,1,0
385,0,1,1,0,1,1,0,1,1,0
386,0,1,1,0,1,1,0,1,1,0
387,1,0,1,0,1,1,1,0,1,0
388,0,1,1,0,1,1,0,1,1,0
389,0,0,1,1,1,1,0,1,1,0
390,0,1,1,0,1,1,0,1,1,0
391,0,0,1,1,1,1,0,0,1,1
392,0,1,1,0,0,1,1,0,1,1
393,1,0,1,0,0,1,0,0,1,0
394,0,1,1,0,1,1,0,1,1,0
395,1,1,1,1,1,1,1,1,1,1
396,0,1,1,0,1,1,0,1,1,0
397,0,1,1,0,1,1,0,1,1,0
398,0,1,1,0,1,1,0,1,1,0
399,1,0,1,0,1,1,1,1,1,1
400,0,0,1,1,0,1,1,0,1,1
401,1,0,1,0,0,1,0,0,1,0
402,0,1,1,0,1,1,0,1,1,0
403,1,0,1,0,0,1,0,0,1,0
404,0,1,1,0,1,1,0,1,1,0
405,0,1,1,0,1,1,0,1,1,0
406,0,1,1,0,1,1,0,1,1,0
407,0,1,1,0,1,1,0,1,1,0
408,0,1,1,0,1,1,0,1,1,0
409,0,1,1,0,1,1,0,1,1,0
410,0,1,1,0,1,1,0,1,1,0
411,0,1,1,0,0,1,1,0,1,1
412,0,1,1,0,1,1,0,1,1,0
413,0,1,1,0,1,1,0,1,1,0
414,1,1,1,1,0,1,0,0,1,0
415,0,1,1,0,1,1,0,1,1,0
416,0,1,1,0,0,1,1,0,1,1
417,1,1,1,1,1,1,1,1,1,1
418,1,1,1,1,1,1,1,1,1,1
419,0,1,1,0,1,1,0,1,1,0
420,0,1,1,0,1,1,0,1,1,0
421,0,0,1,1,0,1,1,1,1,0
422,0,1,1,0,1,1,0,1,1,0
423,1,0,1,0,1,1,1,0,1,0
424,0,0,1,1,1,1,0,0,1,1
425,1,0,1,0,0,1,0,0,1,0
426,0,1,1,0,1,1,0,1,1,0
427,1,1,1,1,0,1,0,0,1,0
428,1,0,1,0,0,1,0,1,1,1
429,0,1,1,0,1,1,0,1,1,0
430,0,1,1,0,1,1,0,1,1,0
431,0,1,1,0,1,1,0,1,1,0
432,0,1,1,0,0,1,1,0,1,1
433,0,1,1,0,1,1,0,1,1,0
434,1,0,1,0,0,1,0,0,1,0
435,0,1,1,0,1,1,0,1,1,0
436,0,1,1,0,1,1,0,1,1,0
437,0,1,1,0,1,1,0,1,1,0
438,0,0,1,1,0,1,1,1,1,0
439,0,1,1,0,1,1,0,1,1,0
440,0,1,1,0,1,1,0,1,1,0
441,1,1,1,1,0,1,0,0,1,0
442,0,1,1,0,1,1,0,1,1,0
443,1,0,1,0,0,1,0,0,1,0
444,1,1,1,1,1,1,1,1,1,1
445,0,1,1,0,1,1,0,1,1,0
446,0,1,1,0,1,1,0,1,1,0
447,1,0,1,0,0,1,0,0,1,0
448,0,1,1,0,1,1,0,1,1,0
449,0,1,1,0,1,1,0,1,1,0
450,0,1,1,0,1,1,0,1,1,0
451,0,1,1,0,0,1,1,1,1,0
452,0,0,1,1,0,1,1,1,1,0
453,0,1,1,0,0,1,1,1,1,0
454,0,1,1,0,0,1,1,0,1,1
455,1,1,1,1,1,1,1,1,1,1
456,0,1,1,0,1,1,0,1,1,0
457,1,0,1,0,1,1,1,1,1,1
458,0,1,1,0,1,1,0,1,1,0
459,0,1,1,0,1,1,0,1,1,0
460,1,0,1,0,0,1,0,0,1,0
461,0,1,1,0,1,1,0,1,1,0
462,0,1,1,0,1,1,0,1,1,0
463,0,1,1,0,1,1,0,1,1,0
464,0,1,1,0,0,1,1,1,1,0
465,0,1,1,0,1,1,0,1,1,0
466,0,1,1,0,1,1,0,1,1,0
467,0,1,1,0,1,1,0,1,1,0
468,0,1,1,0,1,1,0,0,1,1
469,0,1,1,0,1,1,0,1,1,0
470,1,0,1,0,0,1,0,1,1,1
471,0,1,1,0,1,1,0,1,1,0
472,0,1,1,0,1,1,0,1,1,0
473,1,1,1,1,0,1,0,1,1,1
474,1,0,1,0,0,1,0,0,1,0
475,0,1,1,0,1,1,0,1,1,0
476,0,1,1,0,1,1,0,1,1,0
477,1,1,1,1,1,1,1,1,1,1
478,0,1,1,0,1,1,0,1,1,0
479,0,1,1,0,1,1,0,1,1,0
480,0,1,1,0,1,1,0,1,1,0
481,0,1,1,0,1,1,0,1,1,0
482,0,1,1,0,1,1,0,1,1,0
483,0,1,1,0,1,1,0,1,1,0
484,0,0,1,1,0,1,1,0,1,1
485,0,1,1,0,1,1,0,1,1,0
486,0,1,1,0,1,1,0,1,1,0
487,0,1,1,0,1,1,0,1,1,0
488,1,0,1,0,0,1,0,0,1,0
489,0,1,1,0,1,1,0,1,1,0
490,0,1,1,0,1,1,0,1,1,0
491,1,0,1,0,0,1,0,0,1,0
492,0,1,1,0,1,1,0,1,1,0
493,0,1,1,0,1,1,0,0,1,1
494,0,1,1,0,1,1,0,1,1,0
495,0,0,1,1,1,1,0,1,1,0
496,0,1,1,0,0,1,1,1,1,0
497,1,0,1,0,0,1,0,0,1,0
498,0,1,1,0,0,1,1,0,1,1
499,1,1,1,1,1,1,1,1,1,1
500,0,1,1,0,1,1,0,1,1,0
501,0,1,1,0,1,1,0,1,1,0
502,0,1,1,0,1,1,0,1,1,0
503,1,1,1,1,0,1,0,1,1,1
504,0,1,1,0,1,1,0,1,1,0
505,0,1,1,0,0,1,1,0,1,1
506,0,1,1,0,1,1,0,1,1,0
507,0,0,1,1,0,1,1,0,1,1
508,0,1,1,0,1,1,0,1,1,0
509,0,1,1,0,1,1,0,1,1,0
510,1,0,1,0,1,1,1,1,1,1
511,0,0,1,1,1,1,0,1,1,0
512,1,0,1,0,0,1,0,1,1,1
513,0,1,1,0,0,1,1,1,1,0
514,0,1,1,0,0,1,1,1,1,0
515,1,0,1,0,1,1,1,1,1,1
516,0,0,1,1,1,1,0,1,1,0
517,0,1,1,0,1,1,0,1,1,0
518,0,1,1,0,1,1,0,1,1,0
519,0,1,1,0,1,1,0,1,1,0
520,0,1,1,0,1,1,0,1,1,0
521,0,1,1,0,0,1,1,1,1,0
522,0,1,1,0,1,1,0,1,1,0
523,1,0,1,0,1,1,1,0,1,0
524,1,1,1,1,1,1,1,1,1,1
525,0,1,1,0,1,1,0,1,1,0
526,1,0,1,0,1,1,1,0,1,0
527,1,1,1,1,1,1,1,1,1,1
528,0,1,1,0,0,1,1,1,1,0
529,1,1,1,1,1,1,1,0,1,0
530,0,1,1,0,1,1,0,1,1,0
531,0,1,1,0,1,1,0,1,1,0
532,0,1,1,0,1,1,0,1,1,0
533,0,1,1,0,1,1,0,1,1,0
534,0,1,1,0,1,1,0,0,1,1
535,0,1,1,0,0,1,1,1,1,0
536,0,1,1,0,1,1,0,0,1,1
537,0,1,1,0,1,1,0,1,1,0
538,1,0,1,0,0,1,0,1,1,1
539,0,1,1,0,1,1,0,1,1,0
540,0,0,1,1,0,1,1,1,1,0
541,0,1,1,0,1,1,0,1,1,0
542,0,1,1,0,1,1,0,1,1,0
543,0,1,1,0,1,1,0,1,1,0
544,0,1,0,0,1,1,0,1,1,0
545,1,0,1,0,0,1,0,1,1,1
546,0,1,1,0,1,1,0,1,1,0
547,0,1,1,0,1,1,0,1,1,0
548,0,1,1,0,1,1,0,1,1,0
549,0,1,1,0,1,1,0,0,1,1
550,0,1,1,0,1,1,0,1,1,0
551,0,1,1,0,1,1,0,1,1,0
552,0,1,1,0,1,1,0,1,1,0
553,0,1,1,0,1,1,0,1,1,0
554,0,1,1,0,1,1,0,1,1,0
555,1,0,1,0,1,1,1,0,1,0
556,1,0,1,0,0,1,0,0,1,0
557,0,1,1,0,1,1,0,1,1,0
558,0,1,1,0,1,1,0,1,1,0
559,1,1,1,1,1,1,1,1,1,1
560,0,1,1,0,0,1,1,1,1,0
561,0,1,1,0,0,1,1,1,1,0
562,0,1,1,0,1,1,0,1,1,0
563,0,1,1,0,1,1,0,1,1,0
564,0,0,1,1,0,1,1,0,1,1
565,0,1,1,0,1,1,0,1,1,0
566,1,0,1,0,0,1,0,0,1,0
567,0,1,1,0,1,1,0,1,1,0
568,0,1,1,0,1,1,0,1,1,0
569,0,1,1,0,1,1,0,1,1,0
570,0,1,1,0,1,1,0,1,1,0
571,1,1,1,1,1,1,1,1,1,1
572,1,1,1,1,0,1,0,0,1,0
573,0,1,1,0,1,1,0,1,1,0
574,0,1,1,0,1,1,0,1,1,0
575,0,0,1,1,1,1,0,1,1,0
576,0,1,1,0,1,1,0,1,1,0
577,1,0,1,0,0,1,0,0,1,0
578,1,0,1,0,0,1,0,1,1,1
579,1,1,1,1,1,1,1,0,1,0
580,0,1,1,0,1,1,0,1,1,0
581,0,1,1,0,1,1,0,1,1,0
582,0,1,1,0,1,1,0,1,1,0
583,0,1,1,0,0,1,1,0,1,1
584,1,0,1,0,0,1,0,1,1,1
585,0,1,1,0,1,1,0,1,1,0
586,0,1,1,0,1,1,0,1,1,0
587,0,0,1,1,1,1,0,0,1,1
588,0,1,1,0,1,1,0,1,1,0
589,0,1,1,0,1,1,0,1,1,0
590,0,1,1,0,1,1,0,1,1,0
591,0,1,1,0,1,1,0,1,1,0
592,0,1,1,0,1,1,0,1,1,0
593,1,1,1,1,1,1,1,1,1,1
594,0,1,1,0,1,1,0,1,1,0
595,1,0,1,0,0,1,0,1,1,1
596,1,1,1,1,1,1,1,1,1,1
597,1,0,1,0,0,1,0,0,1,0
598,0,1,1,0,1,1,0,1,1,0
599,0,1,1,0,1,1,0,0,1,1
600,0,0,1,1,0,1,1,1,1,0
601,0,1,1,0,0,1,1,0,1,1
602,0,1,1,0,1,1,0,1,1,0
603,1,0,1,0,1,1,1,0,1,0
604,0,0,1,1,1,1,0,1,1,0
605,1,0,1,0,0,1,0,0,1,0
606,0,1,1,0,1,1,0,1,1,0
607,0,1,1,0,1,1,0,0,1,1
608,0,0,1,1,1,1,0,1,1,0
609,0,1,1,0,1,1,0,1,1,0
610,1,1,1,1,1,1,1,1,1,1
611,0,1,1,0,1,1,0,1,1,0
612,0,1,1,0,0,1,1,1,1,0
613,0,1,1,0,1,1,0,1,1,0
614,0,1,1,0,1,1,0,1,1,0
615,1,0,1,0,0,1,0,0,1,0
616,0,1,1,0,1,1,0,1,1,0
617,0,0,1,1,0,1,1,0,1,1
618,0,1,1,0,1,1,0,1,1,0
619,0,1,1,0,1,1,0,1,1,0
620,1,1,1,1,1,1,1,1,1,1
621,1,1,1,1,0,1,0,0,1,0
622,0,0,1,1,1,1,0,1,1,0
623,0,1,1,0,1,1,0,1,1,0
624,0,1,1,0,1,1,0,1,1,0
